date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:57:23	120/120	---MCZ	200	added ('OK')	text/plain	date:Fri,%2023%20Aug%202024%2006:44:38%20GMT	https://workscout.in/robots.txt		(from )
10:57:23	182724/182724	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Sep%202024%2022:35:06%20GMT	https://workscout.in/	D:/Eco%20Harmony-2/workscout.in/index.html	(from )
10:57:25	42/42	---M-Z	405	error ('Method%20Not%20Allowed')	text/plain	date:Sat,%2014%20Sep%202024%2005:27:27%20GMT	https://workscout.in/xmlrpc.php	D:/Eco%20Harmony-2/workscout.in/xmlrpc.php	(from https://workscout.in/)
10:57:25	356027/356027	---M--	200	added ('OK')	image/jpeg	etag:%2266460398-56ebb%22	https://workscout.in/wp-content/uploads/2024/05/1880381-1-scaled-1.jpg	D:/Eco%20Harmony-2/workscout.in/wp-content/uploads/2024/05/1880381-1-scaled-1.jpg	(from https://workscout.in/)
10:57:25	16623/16623	---MCZ	200	added ('OK')	text/css	etag:W/%2266c88b9b-40ef%22	https://workscout.in/wp-content/cache/min/1/wp-content/plugins/web-font-social-icons/css/icons.css?ver=1724418971	D:/Eco%20Harmony-2/workscout.in/wp-content/cache/min/1/wp-content/plugins/web-font-social-icons/css/icons1231.css	(from https://workscout.in/)
10:57:26	0/0	---M--	200	added ('OK')	text/css	etag:%2265b04fd3-0%22	https://workscout.in/wp-content/plugins/workscout-freelancer/assets/css/freelancer.css?ver=1.0	D:/Eco%20Harmony-2/workscout.in/wp-content/plugins/workscout-freelancer/assets/css/freelancer5152.css	(from https://workscout.in/)
10:57:26	59109/59109	---MCZ	200	added ('OK')	text/css	etag:W/%2266c88b9c-e6e5%22	https://workscout.in/wp-content/cache/min/1/wp-includes/css/dashicons.min.css?ver=1724418972	D:/Eco%20Harmony-2/workscout.in/wp-content/cache/min/1/wp-includes/css/dashicons.min3d6a.css	(from https://workscout.in/)
10:57:26	3077/3077	---MCZ	200	added ('OK')	text/css	etag:W/%2266c88b9c-c05%22	https://workscout.in/wp-content/cache/min/1/wp-content/plugins/mas-wp-job-manager-company-reviews/assets/css/mas-wp-job-manager-company-reviews.css?ver=1724418972	D:/Eco%20Harmony-2/workscout.in/wp-content/cache/min/1/wp-content/plugins/mas-wp-job-manager-company-reviews/assets/css/mas-wp-job-manager-company-reviews3d6a.css	(from https://workscout.in/)
10:57:27	1686/1686	---MCZ	200	added ('OK')	text/css	etag:W/%2266c88b9c-696%22	https://workscout.in/wp-content/cache/min/1/wp-content/plugins/wp-job-manager-alerts/assets/dist/css/frontend.css?ver=1724418972	D:/Eco%20Harmony-2/workscout.in/wp-content/cache/min/1/wp-content/plugins/wp-job-manager-alerts/assets/dist/css/frontend3d6a.css	(from https://workscout.in/)
10:57:27	713/713	---MCZ	200	added ('OK')	text/css	etag:W/%2266c88b9c-2c9%22	https://workscout.in/wp-content/cache/min/1/wp-content/plugins/wp-job-manager-alerts/assets/dist/css/frontend.default.css?ver=1724418972	D:/Eco%20Harmony-2/workscout.in/wp-content/cache/min/1/wp-content/plugins/wp-job-manager-alerts/assets/dist/css/frontend.default3d6a.css	(from https://workscout.in/)
